Alpha,Hotel,-0.00475394741240958,1
Bravo,Oscar,-0.0256898806279103,2
Alpha,Papa,-0.01740596886128496,3
Papa,Whiskey,-0.002959792729228956,4
Oscar,Golf,-0.020935817408205607,5
Whiskey,Alpha,-0.016718675336278355,6
Alpha,Zulu,-0.018169891579117123,7
Golf,Whiskey,-0.01615693987269263,8
Tango,Zulu,-0.018576808763168872,9
Bravo,Tango,-0.021228069931101406,10
Zulu,Oscar,-0.018858461557867308,11
Bravo,Papa,-0.0027512488073647063,12
Hotel,Zulu,-0.017953634189678134,13
Whiskey,Hotel,-0.014091223687099143,14
Tango,Oscar,-0.023833231034152184,15
Hotel,Tango,-0.009300348649379784,16
Papa,Zulu,-0.033390824158033,17
Bravo,Whiskey,-0.0020714190787998006,18
Whiskey,Zulu,-0.03204435312632771,19
