name,latitude,longitude
1,48.509661,-71.645100
2,48.509183,-71.643465
3,48.507690,-71.644438
4,48.507690,-71.644438
5,48.507667,-71.646092
6,48.507642,-71.646416
7,48.507547,-71.646720
8,48.507413,-71.646954
9,48.507256,-71.647120
10,48.507103,-71.647212
11,48.506962,-71.647268
