name,latitude,longitude,altitude
1,43.476829,-80.568929,106.68
2,43.477745,-80.570160,106.68
3,43.477745,-80.570160,76.2
4,43.478065,-80.569361,76.2
5,43.478065,-80.569361,60.96
6,43.477931,-80.568905,60.96
7,43.477863,-80.568506,60.96
8,43.477870,-80.568017,60.96
9,43.477970,-80.567539,60.96
10,43.477970,-80.567539,60.96
11,43.478274,-80.567050,30.48
